Manufacturer Part No.,Description,Designator,Quantity,Price per unit,Total Price
IRLZ44NPBF,MOSFET N-CH 55V 47A TO220AB,MOSFET_CC,1,1.78,1.78
MCQ7328-TP,MOSFET 2P-CH 30V 8A 8SOP,RPP1-5,5,0.671,3.355
S1M-13-F,DIODE GEN PURP 1KV 1A SMA,D1-10,10,0.111,1.11
PCF8575PWR,IC XPND 400KHZ I2C SMBUS 24TSSOP,I2C_EXPANDER,1,2.5,2.5
NXRT15XH103FA1B030,THERMISTOR NTC 10KOHM 3380K BEAD,NTC,1,0.35,0.35
DM3AT-SF-PEJM5(40),CONN MICRO SD CARD R/A SMD,MicroSD,1,2.94,2.94
TXU0304PWR,IC XLTR VL UNIDIR 14-TSSOP,Logic_Shifter,1,0.99,0.99
530002B02500G,HEATSINK TO-220 POWER W/PINS BK,HeatSink,1,2.46,2.46
MIC5504-3.3YM5-TR,IC REG LINEAR 3.3V 300MA SOT23-5,3.3V_LDO,1,0.16,0.16
MCP6001UT-E/OT,IC OPAMP GP 1 CIRCUIT SOT23-5,OA2,2,0.35,0.7
CD4514BM96,IC DECODER/DEMUX 1X4:16 24-SOIC,LINE_DECODER,1,1.23,1.23
USB4125-GF-A-0190,CONN RCPT TYPE C 6P SMD RA,USB_C_IN,1,0.59,0.59
DAC60501ZDGSR,SINGLE CHAN DAC 12BIT- ZEROCODE,DAC,1,2.68,2.68
ULN2003V12DR,IC PWR RELAY NPN 1:1 16SOIC,RELAY_DRIVER_1 - 2,2,1.1,2.2
AP64502QSP-13,IC REG BUCK ADJ 5A 8SO,BUCK_IC,1,2.53,2.53
MGAH06036R8M-10,0603 INDUCTOR 6.8UH 5A,L1,1,0.47,0.47
PJ-102BH,CONN PWR JACK 2.5X5.5MM SOLDER,DC_JACK_IN,1,0.65,0.65
TLV9162IDDFR,"DUAL, 16-V, 10-MHZ, RAIL-TO-RAIL",OA1,1,1.98,1.98
G5LE-1A DC5,RELAY GEN PURPOSE SPST 10A 5V,RELAY1-10,10,0.936,9.36
CD74HC4067SM96,IC MUX 16:1 160OHM 24SSOP,MUX,1,0.63,0.63
